video,frame_number,pts_us,qr_timestamp_us,offset_us,offset_ms
cam1_rec8.mkv,105418,1756810000,1768259557426000,-1768257800616000,-1768257800616.0
cam1_rec8.mkv,107040,1783835000,1768259584436000,-1768257800601000,-1768257800601.0
cam1_rec8.mkv,107581,1792851000,1768259593481000,-1768257800630000,-1768257800630.0
cam1_rec8.mkv,108121,1801847000,1768259602473000,-1768257800626000,-1768257800626.0
cam1_rec8.mkv,108662,1810859000,1768259611508000,-1768257800649000,-1768257800649.0
cam1_rec8.mkv,109203,1819875000,1768259620502000,-1768257800627000,-1768257800627.0
cam1_rec8.mkv,110284,1837888000,1768259638487000,-1768257800599000,-1768257800599.0
cam1_rec8.mkv,110824,1846884000,1768259647505000,-1768257800621000,-1768257800621.0
cam1_rec8.mkv,111365,1855896000,1768259656508000,-1768257800612000,-1768257800612.0
cam1_rec8.mkv,111906,1864912000,1768259665541000,-1768257800629000,-1768257800629.0
cam1_rec8.mkv,112987,1882924000,1768259683558000,-1768257800634000,-1768257800634.0
cam1_rec8.mkv,113527,1891920000,1768259692541000,-1768257800621000,-1768257800621.0
cam1_rec8.mkv,114068,1900933000,1768259701549000,-1768257800616000,-1768257800616.0
cam1_rec8.mkv,114609,1909949000,1768259710580000,-1768257800631000,-1768257800631.0
cam1_rec8.mkv,115149,1918945000,1768259719582000,-1768257800637000,-1768257800637.0
cam1_rec8.mkv,115690,1927957000,1768259728608000,-1768257800651000,-1768257800651.0
cam1_rec8.mkv,117312,1954985000,1768259755594000,-1768257800609000,-1768257800609.0
cam1_rec8.mkv,117852,1963982000,1768259764607000,-1768257800625000,-1768257800625.0
cam1_rec8.mkv,118393,1972994000,1768259773620000,-1768257800626000,-1768257800626.0
cam1_rec8.mkv,118934,1982010000,1768259782624000,-1768257800614000,-1768257800614.0
cam1_rec8.mkv,119474,1991006000,1768259791620000,-1768257800614000,-1768257800614.0
cam1_rec8.mkv,120555,2009018000,1768259809624000,-1768257800606000,-1768257800606.0
cam1_rec8.mkv,121096,2018030000,1768259818649000,-1768257800619000,-1768257800619.0
cam1_rec8.mkv,121637,2027047000,1768259827686000,-1768257800639000,-1768257800639.0
cam1_rec8.mkv,122177,2036043000,1768259836672000,-1768257800629000,-1768257800629.0
cam1_rec8.mkv,123799,2063067000,1768259863685000,-1768257800618000,-1768257800618.0
cam1_rec8.mkv,124340,2072083000,1768259872702000,-1768257800619000,-1768257800619.0
cam1_rec8.mkv,124880,2081079000,1768259881691000,-1768257800612000,-1768257800612.0
cam1_rec8.mkv,125421,2090091000,1768259890717000,-1768257800626000,-1768257800626.0
cam1_rec8.mkv,125961,2099092000,1768259899708000,-1768257800616000,-1768257800616.0
cam1_rec8.mkv,126502,2108104000,1768259908721000,-1768257800617000,-1768257800617.0
cam1_rec8.mkv,127043,2117120000,1768259917727000,-1768257800607000,-1768257800607.0
cam1_rec8.mkv,127583,2126116000,1768259926732000,-1768257800616000,-1768257800616.0
cam1_rec8.mkv,128124,2135128000,1768259935767000,-1768257800639000,-1768257800639.0
cam1_rec8.mkv,128664,2144128000,1768259944738000,-1768257800610000,-1768257800610.0
cam1_rec8.mkv,129746,2162153000,1768259962778000,-1768257800625000,-1768257800625.0
cam1_rec8.mkv,130286,2171153000,1768259971774000,-1768257800621000,-1768257800621.0
cam1_rec8.mkv,137855,2297263000,1768259975898000,-1768257678635000,-1768257678635.0
cam1_rec8.mkv,138395,2306263000,1768260106890000,-1768257800627000,-1768257800627.0
cam1_rec8.mkv,138936,2315275000,1768260115919000,-1768257800644000,-1768257800644.0
cam1_rec8.mkv,140017,2333287000,1768260133916000,-1768257800629000,-1768257800629.0
cam1_rec8.mkv,140558,2342299000,1768260142931000,-1768257800632000,-1768257800632.0
cam1_rec8.mkv,141099,2351316000,1768260151952000,-1768257800636000,-1768257800636.0
cam1_rec8.mkv,141639,2360312000,1768260160950000,-1768257800638000,-1768257800638.0
cam1_rec8.mkv,142180,2369324000,1768260169962000,-1768257800638000,-1768257800638.0
cam1_rec8.mkv,143261,2387336000,1768260187964000,-1768257800628000,-1768257800628.0
cam1_rec8.mkv,143802,2396348000,1768260196986000,-1768257800638000,-1768257800638.0
cam1_rec8.mkv,144342,2405348000,1768260205985000,-1768257800637000,-1768257800637.0
cam1_rec8.mkv,144883,2414360000,1768260215001000,-1768257800641000,-1768257800641.0
cam1_rec8.mkv,146505,2441385000,1768260242014000,-1768257800629000,-1768257800629.0
cam1_rec8.mkv,147045,2450385000,1768260250987000,-1768257800602000,-1768257800602.0
cam1_rec8.mkv,147586,2459397000,1768260260021000,-1768257800624000,-1768257800624.0
cam1_rec8.mkv,148126,2468393000,1768260269028000,-1768257800635000,-1768257800635.0
cam1_rec8.mkv,148667,2477409000,1768260278046000,-1768257800637000,-1768257800637.0
cam1_rec8.mkv,149748,2495422000,1768260296043000,-1768257800621000,-1768257800621.0
cam1_rec8.mkv,150289,2504434000,1768260305069000,-1768257800635000,-1768257800635.0
