frame,cam1_timestamp_us,cam2_timestamp_us,drift_us,drift_ms
2287,1768253707781000,1768253707747000,-34000,-34.0
2288,1768253707781000,1768253707781000,0,0.0
2290,1768253707817000,1768253707817000,0,0.0
2291,1768253707854000,1768253707817000,-37000,-37.0
2292,1768253707854000,1768253707854000,0,0.0
2293,1768253707891000,1768253707854000,-37000,-37.0
2294,1768253707891000,1768253707891000,0,0.0
2295,1768253707891000,1768253707891000,0,0.0
2296,1768253707929000,1768253707891000,-38000,-38.0
2297,1768253707929000,1768253707929000,0,0.0
2298,1768253707964000,1768253707929000,-35000,-35.0
2299,1768253707964000,1768253707964000,0,0.0
2300,1768253707999000,1768253707964000,-35000,-35.0
2301,1768253707999000,1768253707999000,0,0.0
2304,1768253708069000,1768253708034000,-35000,-35.0
2305,1768253708069000,1768253708069000,0,0.0
2307,1768253708105000,1768253708105000,0,0.0
2308,1768253708141000,1768253708105000,-36000,-36.0
2309,1768253708141000,1768253708141000,0,0.0
2310,1768253708175000,1768253708141000,-34000,-34.0
2311,1768253708175000,1768253708175000,0,0.0
2312,1768253708210000,1768253708175000,-35000,-35.0
2313,1768253708210000,1768253708210000,0,0.0
2314,1768253708210000,1768253708210000,0,0.0
2315,1768253708245000,1768253708210000,-35000,-35.0
2316,1768253708245000,1768253708245000,0,0.0
2317,1768253708282000,1768253708245000,-37000,-37.0
2318,1768253708282000,1768253708282000,0,0.0
2319,1768253708317000,1768253708282000,-35000,-35.0
2320,1768253708317000,1768253708317000,0,0.0
2321,1768253708351000,1768253708317000,-34000,-34.0
2322,1768253708351000,1768253708351000,0,0.0
2324,1768253708385000,1768253708385000,0,0.0
2325,1768253708422000,1768253708385000,-37000,-37.0
2326,1768253708422000,1768253708422000,0,0.0
2327,1768253708458000,1768253708422000,-36000,-36.0
2328,1768253708458000,1768253708458000,0,0.0
2329,1768253708458000,1768253708458000,0,0.0
2330,1768253708496000,1768253708458000,-38000,-38.0
2331,1768253708496000,1768253708496000,0,0.0
2333,1768253708532000,1768253708532000,0,0.0
2335,1768253708567000,1768253708567000,0,0.0
